176.34,26.895,13.703,14.12,27.329
173.09,27.065,13.735,14.205,28.145
169.64,26.584,13.601,14.066,27.697
164.74,26.108,13.389,14.128,28.1
161.16,26.158,13.437,14.354,27.883
158.27,26.295,13.547,14.04,27.543
154.98,25.826,13.398,14.108,27.23
151.61,25.778,13.505,14.028,27.157
149.61,25.43,13.381,14.104,26.863
146.59,25.595,13.293,13.999,26.282
145.89,25.664,12.99,13.758,26.103
145.87,25.501,12.897,13.708,25.943
144.44,25.363,12.718,13.799,26.188
143,25.268,12.44,13.715,25.512
139.44,25.161,12.438,13.772,25.212
137.03,25.112,12.428,13.645,24.708
136,24.952,12.362,13.389,24.338
134.55,24.665,12.288,13.407,24.275
131.83,24.799,12.076,13.371,24.244
130.17,24.365,11.991,13.233,24.047
130.43,24.037,11.84,12.982,24.054
128.88,23.894,11.528,13.024,23.927
127.99,23.914,11.526,12.745,23.629
127.61,24.462,11.455,12.722,23.26
127.49,24.386,11.402,12.799,22.899
125.98,24.065,11.309,12.502,22.701
123.95,23.971,10.986,12.255,22.674
124.28,23.88,10.944,12.365,22.445
122.87,23.778,10.865,12.463,22.136
121.08,23.612,10.901,12.349,22.141
118.27,23.494,10.857,12.538,21.93
118.56,23.325,10.764,12.519,21.826
117.26,23.124,10.626,12.717,21.799
116.92,23.289,10.392,12.844,21.707
113.12,23.12,10.46,13.038,21.78
110.81,23.144,10.259,12.981,21.384
