9.0972,23.665,4.4809,42.312,9.9243
8.8679,23.683,4.4399,41.523,9.7988
9.0205,23.757,4.4686,40.99,9.7133
9.113,23.668,4.4041,40.105,9.669
9.0971,23.809,4.3647,39.374,9.5047
9.2552,23.708,4.4187,38.959,9.321
9.3212,23.686,4.4265,37.978,9.1632
9.2945,23.683,4.5367,37.211,9.0718
9.3183,23.836,4.5903,37.308,8.9816
9.303,23.916,4.5907,36.411,8.8495
9.3292,23.964,4.6138,36.116,8.9413
9.1075,23.591,4.5883,35.528,8.8546
8.9105,23.49,4.6156,35.045,8.8061
8.8419,23.755,4.6906,34.462,8.832
9.0089,23.365,4.8012,33.937,8.5899
9.0975,23.315,4.8349,33.822,8.5325
9.146,23.102,4.8471,33.508,8.3743
9.1794,23.182,4.9403,32.945,8.2873
9.2827,23.052,4.9249,32.187,8.2555
9.2951,22.765,4.9059,31.735,8.1547
9.4151,22.459,4.9103,31.435,8.0209
9.4321,22.303,4.9026,31.116,7.7618
9.5636,22.351,4.8604,30.086,7.6627
9.4386,22.372,4.8733,29.427,7.6834
9.5102,21.938,4.9323,29.062,7.7806
9.458,21.717,4.9626,28.184,7.7393
9.4399,21.827,4.9707,27.975,7.6482
9.5343,21.95,4.9602,28.07,7.5386
9.5429,21.729,4.9471,27.441,7.3535
9.5905,21.78,4.9915,27.008,7.3748
9.6751,21.683,5.0345,26.325,7.2714
9.7047,21.602,5.1137,25.661,7.2887
9.8228,21.432,5.0874,25.013,7.2207
9.8869,21.282,5.0432,24.418,7.1317
9.9981,21.583,4.8899,23.898,6.9903
10.021,21.267,4.7337,23.457,6.8693
